id,H,L,learning
02012588,0.8914246196403871,0.8379705400981997,0.053454079542187394
02hhn3yb,0.8801652892561984,0.8455008488964347,0.03466444035976368
09u7vlj7,0.9477715877437327,0.9364548494983276,0.011316738245405134
0jutvml5,0.9028256374913853,0.8689655172413792,0.033860120250006176
0ldaeete,0.8838622552329507,0.8454545454545452,0.03840770977840546
0qlz7yxg,0.9114266396213664,0.8951890034364262,0.01623763618494023
0v04fxma,0.9357290946786454,0.8870151770657677,0.04871391761287769
10gr6k2l,0.9097744360902255,0.8883248730964468,0.021449562993778648
11qq9hxf,0.8803301237964244,0.8501742160278746,0.030155907768549817
14g6hv8k,0.9166097060833904,0.8873949579831931,0.029214748100197308
16j46xy8,0.9355057705363204,0.9470899470899472,-0.011584176553626757
1dyyaw4b,0.9173553719008266,0.8885077186963979,0.028847653204428725
1lb7tbr7,0.9402777777777778,0.8797250859106528,0.060552691867124975
1xqec919,0.9530062197650309,0.9226890756302519,0.03031714413477893
21xapnnh,0.9183673469387752,0.886323268206039,0.03204407873273618
23h7rpbu,0.9339237057220707,0.8871252204585538,0.04679848526351693
23rjqvom,0.8836088154269975,0.857876712328767,0.025732103098230485
29ehzpe0,0.9102829537612147,0.8904109589041098,0.01987199485710489
29zpbmmy,0.9076498966230186,0.8462837837837835,0.0613661128392351
2davx7nt,0.9491408934707902,0.9466882067851372,0.002452686685653016
2n6v1k3u,0.8671186440677967,0.8605072463768116,0.006611397690985066
2v42ipxy,0.929979605710401,0.89103690685413,0.038942698856270996
2wl27dkz,0.95260989010989,0.9436152570480929,0.008994633061797042
2xn0szh6,0.8778467908902691,0.8814691151919867,-0.0036223243017176054
2z10bv6a,0.9473684210526316,0.8864027538726335,0.060965667179998184
2zbxslpn,0.8513698630136991,0.8232323232323231,0.02813753978137601
30a1bp8j,0.8907967032967036,0.9035087719298246,-0.012712068633121021
321yl4lz,0.8880546075085324,0.8542713567839197,0.033783250724612635
36eh4u39,0.8501718213058416,0.8280991735537186,0.02207264775212292
38k6v81o,0.9516468114926417,0.9463986599664992,0.005248151526142553
3942ithx,0.891854893908282,0.8476702508960573,0.04418464301222469
3c48ijq4,0.9441416893732969,0.9242957746478873,0.01984591472540964
3o6c5jme,0.9302168021680218,0.910420475319927,0.019796326848094847
3z7js7ze,0.930963773069036,0.9039735099337748,0.026990263135261205
4c4vv6fg,0.9328813559322038,0.9182608695652175,0.014620486366986318
4iu45lp8,0.9428768066070194,0.945017182130584,-0.0021403755235646083
4j2ynmmd,0.9190116678105695,0.8792822185970636,0.03972944921350596
4lce564k,0.9781718963165074,0.9654576856649394,0.01271421065156797
4oenuj4z,0.9256428075052114,0.8890701468189233,0.03657266068628817
4osyobtp,0.9061421670117321,0.8850174216027872,0.021124745408944934
4tjawqeo,0.9252717391304348,0.8866906474820144,0.038581091648420385
4uzthrsp,0.9155313351498637,0.8686006825938566,0.046930652556007146
5aqq8r6w,0.9124137931034484,0.8730434782608694,0.039370314842579024
5ckvwhwy,0.9457994579945799,0.9145299145299146,0.03126954346466526
5g9je77m,0.9044715447154472,0.8793103448275862,0.02516119988786103
5l6mnknj,0.9307270233196161,0.9147424511545293,0.015984572165086752
5tqven48,0.907849829351536,0.8413793103448276,0.06647051900670842
5un6y0nb,0.9375,0.926829268292683,0.010670731707317027
5vluzm8n,0.9211444521981852,0.9271186440677968,-0.005974191869611567
62pu08b1,0.882393876130828,0.8638655462184872,0.01852832991234077
63xil5ki,0.9183391003460206,0.927958833619211,-0.009619733273190434
66jz8ugt,0.8846153846153844,0.8265993265993264,0.058016058016057914
6f2ol425,0.9048596851471595,0.8619469026548673,0.042912782492292245
6gwztzbq,0.8929539295392952,0.86561954624781845,0.02733438329147675
6jpt0age,0.8919667590027702,0.8298969072164949,0.06206985178627533
6ui53ym6,0.9322033898305083,0.9251336898395723,0.007069699990935985
7cwp4v6n,0.9211788896504456,0.9183673469387755,0.0028115427116700564
7e2tmpa6,0.8859289617486338,0.8904347826086957,-0.004505820860061904
7etrw5nu,0.9232336956521741,0.9125874125874126,0.010646283064761453
7qw1xhrh,0.9102829537612146,0.8794964028776979,0.030786550883516672
81bqimnf,0.950134770889488,0.9245614035087719,0.025573367380716028
81db02fc,0.9455040871934606,0.8920353982300885,0.05346868896337209
8c1fhpt1,0.9512195121951219,0.9422066549912435,0.009012857203878455
8cav5z8q,0.9410939691444599,0.9528985507246377,-0.011804581580177831
8vxgrgkb,0.9251040221914005,0.916247906197655,0.008856115993745584
8xlm91xr,0.9318181818181819,0.9350877192982456,-0.0032695374800637556
91e0xbu5,0.9124487004103967,0.8931034482758621,0.01934525213453464
934tcrxh,0.9365954514128187,0.9247863247863247,0.011809126626494026
95qq6nys,0.896505376344086,0.8958333333333334,6.720430107526321e-4
98n9czmc,0.9525773195876287,0.9266666666666666,0.025910652920962063
99rxav54,0.9408565601631541,0.9180327868852458,0.0228237732779083
9d4b8u7f,0.9147920927062031,0.8817204301075268,0.03307166259867633
9dptpzrf,0.9214624238320916,0.861646234676007,0.059816189156084665
9e1r9mu0,0.9146757679180886,0.843351548269581,0.07132421964850755
9e9jgfep,0.9608785175017159,0.9299474605954466,0.030931056906269294
9eprutwa,0.9238160603980784,0.885665529010239,0.038150531387839415
9eybg7ux,0.9636737491432488,0.925531914893617,0.0381418342496318
9owrldau,0.9496255956432946,0.9102112676056338,0.03941432803766087
9qygdnaf,0.8820722563053853,0.8510998307952623,0.030972425510123025
9s5fp6s6,0.9328719723183391,0.9013377926421405,0.03153417967619854
